Name;Type;V1_1;V2_1;V1_2;V2_2
LTG1;LT;0;0;1;1
LTG2;LT;0;0;1;1
HTR11;TR;0;0;0;1
HTR12;TR;0;0;1;0
HTR21;TR;0;0;0;1
HTR22;TR;0;0;1;0
QTR1;TR;0;0;0;1
QTR2;TR;0;0;1;0
HLS11;LS;0;0;0;1
HLS12;LS;0;0;1;0
T1;T;0;1;0;1
T2;T;1;0;1;0
HLS21;LS;0;1;0;1
HLS22;LS;1;0;1;0
HTR31;TR;0;1;0;1
HTR32;TR;1;0;1;0
